code,ko,en
guest.layout.intro,인트로,Intro
guest.layout.signIn,로그인,Sign in
guest.layout.signUp,회원가입,Sign up
guest.layout.signUpSns,SNS 회원가입,SNS sign up
guest.layout.findPassword,비밀번호 찾기,Forgot password
guest.layout.resetPassword,비밀번호 초기화,Reset password
guest.intro.screenTitle,인트로,Intro
guest.intro.brandName,Filma,Filma
guest.intro.skip,건너뛰기,Skip
guest.intro.personaDemoTitle,감성파 페르소나,Mood persona
guest.intro.personaDemoSubtitle,오늘의 추천 정확도 92%,Today's picks—92% match
guest.intro.movieDemoTitle,Past Lives,Past Lives
guest.intro.movieDemoMeta,감정 여운 · 106 min,Quiet drama · 106 min
guest.intro.statLikes,likes,likes
guest.intro.statSaved,saved,saved
guest.intro.badge,persona-powered cinema social,persona-powered cinema social
guest.intro.heroTitle,"영화 취향이 피드가 되고, 추천이 되는 곳",Where your movie taste becomes your feed—and your picks
guest.intro.heroSubtitle,"피드, 예고편 판독, 좋아요, 저장을 페르소나별 데이터로 모아 나만의 영화 지도를 만듭니다.","Collect feeds, trailer takes, likes, and saves across personas and build your personal movie map."
guest.intro.featurePersona,페르소나별 취향,Persona tastes
guest.intro.featureTrailer,예고편 판독,Trailer takes
guest.intro.featureSave,카테고리 저장,Saved categories
guest.intro.cta,Filma 시작하기,Get started with Filma
guest.signIn.headerTitle,Filma에 로그인,Sign in to Filma
guest.signIn.headerDescription,페르소나로 영화 취향과 무드를 이어서 확인하세요.,"Pick up right where you left off with your personas, taste, and mood."
guest.signUp.headerTitle,Filma에 가입하기,Join Filma
guest.signUp.headerDescription,취향 기반 추천과 무드 큐레이션을 시작해 보세요.,Start taste-based recommendations and mood curation.
guest.signUp.stepPhoneTitle,휴대전화 인증,Phone verification
guest.signUp.stepPhoneDescription,가입을 위해 휴대전화 번호를 인증해 주세요.,Verify your phone number to sign up.
guest.signUp.stepDetailsTitle,회원 정보 입력,Your account details
guest.signUp.stepDetailsDescription,아이디·이메일·비밀번호를 입력하고 가입을 완료해 주세요.,Enter your username email and password to finish signing up.
guest.signUpSns.headerTitle,SNS로 Filma 가입하기,Join Filma with SNS
guest.signUpSns.headerDescription,아이디·닉네임·이메일을 입력하고 가입을 완료해 주세요.,Enter your username nickname and email to finish signing up.
guest.signUpSns.providerKakao,카카오 계정으로 가입,Sign up with Kakao
guest.signUpSns.providerGoogle,Google 계정으로 가입,Sign up with Google
guest.form.signUpSns.submit,가입 완료,Complete sign up
guest.form.signUpSns.failedRequest.title,회원가입에 실패했어요,Sign up failed
guest.form.signUpSns.failedRequest.description,요청 처리 중 문제가 발생했습니다. 잠시 후 다시 시도해 주세요.,Something went wrong while processing your request. Please try again later.
guest.findPassword.title,비밀번호 찾기,Forgot password
guest.findPassword.description,가입 시 사용한 이메일을 입력하면 비밀번호 재설정 링크가 담긴 인증 메일을 보내드립니다.,Enter the email you used to sign up and we will send a reset link.
guest.findPassword.backToSignIn,로그인으로 돌아가기,Back to sign in
guest.resetPassword.title,비밀번호 초기화,Reset password
guest.resetPassword.description,새 비밀번호를 입력하고 한 번 더 확인해 주세요.,Enter a new password and confirm it once more.
guest.resetPassword.backToSignIn,로그인으로 돌아가기,Back to sign in
guest.findPasswordDone.title,인증 메일을 발송했습니다,Verification email sent
guest.findPasswordDone.description,메일함을 확인하고 링크를 눌러 비밀번호를 재설정해 주세요. 스팸함도 함께 확인해 주세요.,Check your inbox and tap the link to reset your password. Please check spam as well.
guest.findPasswordDone.goSignIn,로그인으로 이동,Go to sign in
guest.findPasswordDone.resend,메일을 받지 못했나요? 다시 보내기,Didn't get the email? Send again
guest.form.signIn.email,이메일,Email
guest.form.signIn.emailPlaceholder,email@Filma.app,email@Filma.app
guest.form.signIn.password,비밀번호,Password
guest.form.signIn.passwordPlaceholder,비밀번호를 입력하세요,Enter your password
guest.form.signIn.rememberMe,로그인 상태 유지,Keep me signed in
guest.form.signIn.forgotPassword,비밀번호 찾기,Forgot password
guest.form.signIn.submit,로그인,Sign in
guest.form.signIn.a11yShowPassword,비밀번호 표시,Show password
guest.form.signIn.a11yHidePassword,비밀번호 숨기기,Hide password
guest.form.signIn.failedRequest.title,로그인에 실패했어요,Sign-in failed
guest.form.signIn.failedRequest.description,요청 처리 중 문제가 발생했습니다. 잠시 후 다시 시도해 주세요.,Something went wrong while signing you in. Please try again later.
guest.form.signIn.invalidCredentials.title,이메일 또는 비밀번호를 확인해 주세요,Check your email or password
